Apellido|Calle|CP|Localidad|Provincia|Operativa|Guia|DESTnombre|DESTnumero|DESTpiso|DESTdepto|DESTtelefono|DESTemail|RETIdomicilio|RETInumero|RETIpiso|RETIdepto|RETItelefono|RETIcp|RETIlocalidad|RETIprov|RETIcontacto|PAQpeso|PAQalto|PAQlargo|PAQancho|PAQvalor|NROremito|IMPremito|NROproducto|RETIemail|observaciones
Sucursal|Avda. CORDOBA 1776/78|1055| Buenos Aires|Buenos Aires|288140|1260100000000231521|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
La Plata|Av. 13 N°33 entre 32 y 33|1900| La Plata|Buenos Aires|288140|1260100000000231522|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
Pilar|Las Piedras 345 Edif. Boreau|1629| Pilar|Buenos Aires|288140|1260100000000231523|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
Temperley|Hipólito Irigoyen 9976|1834| Temperley|Buenos Aires|288140|1260100000000231524|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
Martinez|Av. Libertador 12925 |1640| Martinez|Buenos Aires|288140|1260100000000231525|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
Belgrano|El Cano 3583|1426| Capital Federal|Buenos Aires|288140|1260100000000231526|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
Ushuaia|AV. MAIPU 637|9410| Ushuaia|Buenos Aires|288140|1260100000000231527|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
Tandil|CHACABUCO 472|7000| Tandil|Buenos Aires|288140|1260100000000231528|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
Lincoln|Avda. 25 de Mayo 418|6070| Lincoln|Buenos Aires|288140|1260100000000231529|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
Marcos Paz|Pellegrini 01 Esq. Rivadavia|1727| Marcos Paz|Buenos Aires|288140|1260100000000231530|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
Tucuman|Av. SALTA 614|4000| Tucumán|Tucumán|288140|1260100000000231531|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
salta|Av. Del Bicent. Bat. Salta 731|4400| Salta|Salta|288140|1260100000000231532|||||||Independencia|333|0|0||2322|Sunchales|Santa Fe|||||||||||
